date,asset_id,quantity
2022-01-01,adani_enterprises,5.76
2022-01-01,hdfc_liquid_fund,462.84
2022-01-01,physical_gold,4.13
2022-01-01,reit,0.49
2022-01-01,nasdaq_100,22.99
2022-01-31,nippon_india_smallcap_fund,0.8
2022-01-31,hdfc_liquid_fund,1623.46
2022-01-31,physical_gold,4.4
2022-01-31,reit,0.57
2022-01-31,nasdaq_100,25.44
2022-03-02,nippon_india_smallcap_fund,20.69
2022-03-02,axis_liquid_fund,4242.06
2022-03-02,sgb,19.01
2022-03-02,reit,2.02
2022-03-02,snp_500,551.2
2022-04-01,adani_enterprises,3.84
2022-04-01,icici_pru_liquid_fund,1141.74
2022-04-01,physical_gold,2.35
2022-04-01,reit,0.15
2022-04-01,snp_500,66.41
2022-05-01,hdfc_bank,12.97
2022-05-01,hdfc_liquid_fund,859.13
2022-05-01,physical_gold,2.75
2022-05-01,reit,0.3
2022-05-01,nasdaq_100,39.23
2022-05-31,reliance_industries,1.84
2022-05-31,axis_liquid_fund,304.41
2022-05-31,physical_gold,4.57
2022-05-31,reit,0.55
2022-05-31,snp_500,72.48
2022-06-30,bajaj_finserv,2.36
2022-06-30,sbi_liquid_fund,190.66
2022-06-30,physical_gold,4.12
2022-06-30,reit,0.19
2022-06-30,nasdaq_100,68.43
2022-07-30,tata_steel,2.99
2022-07-30,hdfc_liquid_fund,331.93
2022-07-30,sgb,3.68
2022-07-30,reit,0.38
2022-07-30,snp_500,73.0
2022-08-29,hdfc_bank,18.9
2022-08-29,sbi_liquid_fund,902.53
2022-08-29,physical_gold,4.19
2022-08-29,reit,0.57
2022-08-29,snp_500,40.38
2022-09-28,infosys,22.55
2022-09-28,sbi_liquid_fund,1127.65
2022-09-28,physical_gold,3.45
2022-09-28,reit,0.45
2022-09-28,nasdaq_100,55.9
2022-10-28,tata_steel,5.62
2022-10-28,hdfc_liquid_fund,1574.14
2022-10-28,physical_gold,0.7
2022-10-28,reit,0.16
2022-10-28,nasdaq_100,46.28
2022-11-27,asian_paints,43.66
