date,asset_id,quantity
2022-01-19,infosys,11.96
2022-01-19,sbi_liquid_fund,74.78
2022-01-19,sgb,0.05
2022-01-19,reit,174.22
2022-01-19,nasdaq_100,0.09
2022-02-08,nippon_india_smallcap_fund,225.61
2022-02-08,axis_liquid_fund,78.21
2022-02-08,sgb,0.06
2022-02-08,reit,182.4
2022-02-08,nasdaq_100,0.09
2022-03-23,hdfc_bank,11.83
2022-03-23,axis_liquid_fund,82.35
2022-03-23,sgb,0.06
2022-03-23,reit,190.07
2022-03-23,nasdaq_100,0.09
2022-04-26,itc,214.55
2022-04-26,hdfc_liquid_fund,85.87
2022-04-26,physical_gold,0.06
2022-04-26,reit,203.19
2022-04-26,snp_500,0.06
2022-05-11,tata_steel,16.14
2022-05-11,hdfc_liquid_fund,90.62
2022-05-11,sgb,0.06
2022-05-11,reit,212.69
2022-05-11,nasdaq_100,0.08
2022-08-09,hdfc_bank,16.42
2022-08-09,axis_liquid_fund,105.01
2022-08-09,sgb,0.07
2022-08-09,reit,236.18
2022-08-09,snp_500,0.08
2022-09-13,infosys,15.01
2022-09-13,icici_pru_liquid_fund,109.85
2022-09-13,sgb,0.08
2022-09-13,reit,252.47
2022-09-13,nasdaq_100,0.12
2022-10-12,hero_moto_corps,7.68
2022-10-12,hdfc_liquid_fund,113.47
2022-10-12,physical_gold,0.07
2022-10-12,reit,262.63
2022-10-12,snp_500,0.09
2022-11-28,itc,255.43
2022-11-28,hdfc_liquid_fund,118.55
2022-11-28,sgb,0.09
2022-11-28,reit,270.38
2022-11-28,snp_500,0.12
2022-12-04,nippon_india_smallcap_fund,253.05
2022-12-04,hdfc_liquid_fund,124.68
2022-12-04,sgb,0.09
2022-12-04,reit,284.0
2022-12-04,snp_500,0.13
2023-01-03,parag_parikh_flexi_cap_fund,518.43
2023-01-03,sbi_liquid_fund,170.99
2023-01-03,sgb,0.1
2023-01-03,reit,296.68
2023-01-03,nasdaq_100,0.12
2023-02-04,mahindra_and_mahindra,23.71
2023-02-04,axis_liquid_fund,163.42
2023-02-04,physical_gold,0.09
2023-02-04,reit,305.8
2023-02-04,nasdaq_100,0.12
2023-03-13,reliance_industries,8.47
2023-03-13,hdfc_liquid_fund,141.26
2023-03-13,sgb,0.12
2023-03-13,reit,323.19
2023-03-13,snp_500,0.13
2023-04-24,bajaj_finserv,26.59
2023-04-24,axis_liquid_fund,180.48
2023-04-24,physical_gold,0.1
2023-04-24,reit,332.04
2023-04-24,nasdaq_100,0.14
2023-05-24,asian_paints,21.04
2023-05-24,axis_liquid_fund,187.42
2023-05-24,sgb,0.12
2023-05-24,reit,339.95
2023-05-24,snp_500,0.11
2023-06-14,parag_parikh_flexi_cap_fund,710.15
2023-06-14,icici_pru_liquid_fund,148.01
2023-06-14,physical_gold,0.11
2023-06-14,reit,352.9
2023-06-14,nasdaq_100,0.13
2023-07-17,nippon_india_smallcap_fund,482.24
2023-07-17,icici_pru_liquid_fund,154.24
2023-07-17,sgb,0.13
2023-07-17,reit,369.7
2023-07-17,snp_500,0.11
2023-08-12,nippon_india_smallcap_fund,434.52
2023-08-12,sbi_liquid_fund,232.8
2023-08-12,sgb,0.14
2023-08-12,reit,391.34
2023-08-12,nasdaq_100,0.18
2023-10-13,bharti_airtel,68.58
2023-10-13,axis_liquid_fund,239.54
2023-10-13,physical_gold,0.12
2023-10-13,reit,437.02
2023-10-13,nasdaq_100,0.23
2023-11-03,itc,958.16
2023-11-03,icici_pru_liquid_fund,185.16
2023-11-03,physical_gold,0.13
2023-11-03,reit,453.55
2023-11-03,snp_500,0.09
2023-12-04,reliance_industries,18.09
2023-12-04,hdfc_liquid_fund,215.66
2023-12-04,physical_gold,0.14
2023-12-04,reit,471.42
2023-12-04,snp_500,0.1
2024-01-14,adani_enterprises,16.0
2024-01-14,icici_pru_liquid_fund,177.97
2024-01-14,physical_gold,0.14
2024-01-14,reit,494.13
2024-01-14,nasdaq_100,0.32
2024-02-18,parag_parikh_flexi_cap_fund,1449.02
2024-02-18,hdfc_liquid_fund,233.93
2024-02-18,physical_gold,0.16
2024-02-18,reit,514.11
2024-02-18,nasdaq_100,0.3
2024-03-23,bajaj_finserv,30.88
2024-03-23,hdfc_liquid_fund,244.93
2024-03-23,physical_gold,0.16
2024-03-23,reit,538.83
2024-03-23,nasdaq_100,0.31
2024-04-25,reliance_industries,20.56
2024-04-25,axis_liquid_fund,316.39
2024-04-25,sgb,0.23
2024-04-25,reit,558.23
2024-04-25,snp_500,0.1
2024-06-23,nippon_india_smallcap_fund,227.49
2024-06-23,hdfc_liquid_fund,279.4
2024-06-23,sgb,0.26
2024-06-23,reit,595.9
2024-06-23,nasdaq_100,0.38
2024-07-07,mahindra_and_mahindra,68.93
2024-07-07,hdfc_liquid_fund,291.52
2024-07-07,sgb,0.27
2024-07-07,reit,625.18
2024-07-07,nasdaq_100,0.37
2024-08-30,nippon_india_smallcap_fund,196.72
2024-08-30,hdfc_liquid_fund,301.41
2024-08-30,physical_gold,0.2
2024-08-30,reit,642.73
2024-08-30,nasdaq_100,0.36
2024-09-04,infosys,36.84
2024-09-04,sbi_liquid_fund,473.4
2024-09-04,physical_gold,0.21
2024-09-04,reit,675.14
2024-09-04,nasdaq_100,0.36
2024-10-18,infosys,39.96
2024-10-18,hdfc_liquid_fund,327.72
2024-10-18,sgb,0.31
2024-10-18,reit,643.98
2024-10-18,snp_500,0.13
2024-11-03,bajaj_finserv,52.82
2024-11-03,axis_liquid_fund,391.5
2024-11-03,physical_gold,0.21
2024-11-03,reit,669.48
2024-11-03,nasdaq_100,0.35
2024-12-23,parag_parikh_flexi_cap_fund,1737.33
2024-12-23,hdfc_liquid_fund,361.56
2024-12-23,physical_gold,0.23
2024-12-23,reit,698.99
2024-12-23,snp_500,0.17
2025-01-10,itc,1258.27
2025-01-10,axis_liquid_fund,430.6
2025-01-10,physical_gold,0.24
2025-01-10,reit,714.94
2025-01-10,nasdaq_100,0.34
2025-02-11,tata_steel,60.59
2025-02-11,sbi_liquid_fund,543.05
2025-02-11,physical_gold,0.25
2025-02-11,reit,742.72
2025-02-11,snp_500,0.19
2025-02-25,nippon_india_smallcap_fund,143.21
